taxon,description
Triadica sebifera,"

A small deciduous tree to 6 m. Stem often crooked and gnarled. Twigs slender. Petioles 2-6 cm long, with 2 sessile disc-shaped glands at the apex. Leaf-blades broadly rhombic-ovate, 2-7.5 x 1.5-7 cm, abruptly acutely acuminate, broadly cuneate to rounded.subtruncate at the base, entire, lateral nerves 7-12 pairs, glaucous beneath. Stipules 1-2 mm long, obtuse. Racemes terminal, 4-10 cm long, dense-flowered; ♂ bracts triangular,1.5 mm long, 10-15-flowered, basal glands discoid; bracteoles smaller; ♀ bracts narrowly lanceolate, 2 mm long, 1-flowered; basal glands as in the ♂; bracteoles 1.5 mm long. Male flowers: pedicels 2 mm. long; calys cupular, 1 mm. across, unequally 4-lobed, yellow; stamens 2, filaments short, anthers 1 mm. diam., slightly exserted. Female flowers: pedicels 2-3 mm long, extending to 5-8 mm in fruit; calyx 3-lobed, the lobes ± ovate, 1-1.5 mm long, acute; ovary 1.5 mm diam., tapering into the stylar column; styles 5-7 mm long, stigmas recoiled. Fruit trilobate, 9 x 11 mm, apiculate, shallowly 6-ridged, smooth, black; upon dehiscence, the valves split away leaving the seeds attached to the columella which itself splits into 3. Seeds ovoid, 7 x 6 x 5 mm, smooth, with a white waxy exotesta surrounding a hard black endotesta."
Pisonia aculeata,"

Vines or shrubs, to 3 m; vines subscandent, woody; branches spreading at right angles, armed with stout, recurved spines 6-20 mm. Stems velvety when young, glabrate later. Leaf blades ovate to obovate, 2-10 × 2-7 cm, base cuneate, apex subacute, glabrate. Inflorescences: staminate inflorescences subglobose, dense, 1-3 cm diam.; pistillate inflorescences subglobose at anthesis, more open in age; branches divaricate or ascending; fruiting pedicel 0.5-2 cm. Perianths: perianth of staminate flowers yellowish green, broadly campanulate, 2-3 mm, densely and shortly viscid-villous; perianth of pistillate flowers greenish, often blushed with red, 2-3 mm, puberulent. Fruits clavate, 7-10 × 3-4 mm, densely puberulent between glandular ribs, glands extending entire length of fruits."
Pisonia aculeata,"

Shrubs vinelike, climbing, to 20 m. Bark olive green. Stems with axillary spines, pilose or glabrous; branches pendent, often with 5-10 mm, recurved thorns. Petiole 1-1.5 cm; leaf blade ovate to elliptic, 3-10 × 1.5-5(-7) cm, ± leathery, abaxially greenish, adaxially dark green, glabrous, pubescent yellow-brown, lateral veins 4-6 pairs, base cuneate or rotund, apex acute or obtuse. Cymes axillary, yellow-brown pubescent. Pedicel with 3 ovate bracteoles near apex. Flowers unisexual; perianth yellow, fragrant. Male perianth tube funnelform, puberulous, apex 5-lobed, lobes short triangular. Stamens 6-8, exserted; anthers subglobose. Female perianth tube ovate-tubular, apex 5-lobed; style exserted; stigma lacerate. Fruit clavate, 7-14 × 4 mm, 5-ribbed, with rows of stalked glands and brownish black pubescent; carpopodium long. Fl. Jan-Jun.

Thickets along seashores and open forests. Hainan, SE Taiwan [Africa, America, Asia, Australia]."
Sophora tomentosa,"

Shrubs or small trees, 2-4 m high. Branches shortly tomen­tose. Leaves 12-18 cm; stipules absent; leaflets 11-15(-19), oval or rounded, rarely ovate, 2.5-5 × 2-3.5 cm, nearly leath­ery, densely gray-white tomentose abaxially, glabrous adaxially, lateral veins obscure, base rounded, apex rounded or retuse. Racemes terminal, 10-20 cm, gray-white tomentose. Flowers dense; pedicel equal to calyx, 15-17 mm; bracts linear. Calyx campanulate, 5-6 mm, shortly tomentose. Corolla yellow or creamy white; standard broadly ovate, ca. 17 × 10 mm, claw ca. 3 mm; wings long elliptic, 1-auriculate, claw slender, ca. 5 mm; keel similar to wings, slightly shorter. Stamens 10, free. Ovary densely pubescent; style short, less than 2 mm. Legumes monil­iform, 7-10 × 0.9-1 cm, shortly hairy. Seeds many, brown, glo­bose, lustrous. Fl. Aug-Oct, fr. Sep-Dec."
Perilla frutescens,"

Herbs erect. Stems 0.3-2 m tall, green or purple, finely pilose or densely villous. Petiole 3-5 cm; leaf blade broadly ovate to circular, 4.5-13 × 2.8-10 cm, green, purplish, or purple-black, pilose or adaxially pilose, abaxially appressed villous, base rounded to broadly cuneate, margin narrowly to coarsely serrate, apex short acuminate or mucronate. Verticillasters 1.5-15 cm, densely villous; bracts ca. 4 × 4 mm, short acuminate, red-brown glandular. Pedicel ca. 1.5 mm, densely villous. Calyx ca. 3 mm, erect, base villous, yellow glandular, lower lip longer than upper lip; fruiting calyx 4-11 mm, base villous or pilose, glandular. Corolla 3-4 mm, slightly puberulent, tube 2-2.5 mm. Nutlets gray-brown or tawny, 1-1.5 mm in diam. Fl. Aug-Nov, fr. Aug-Dec."
Perilla frutescens,"

Coarse, strongly aromatic annual. Stems erect, 60-120 cm, sturdy, quadrangular, villous with long spreading multicellular eglandular hairs. Leaves broadly ovate, 8-10 x 5-8 cm, acute, crenate to serrulate, pilose on both sur-faces, gland-dotted beneath, rounded to broadly cuneate at base; petiole 2-5 cm, often densely villous. Racemes dense, erect, often borne in axils of upper leaves. Bracts c. 4 mm, longitudinally folded. Pedicels sturdy, c. 0.5 mm. Calyx in flower c. 3.5 mm, gland-dotted and with villous hairs, enlarging in fruit to 9-10 mm, ± horizontally spreading, with a slightly recurved shortly 3-toothed upper lobe and lower lobe with 2 lanceolate acuminate teeth, villous at throat within. Corolla c. 4 mm, white; tube c. 1.8 mm wide and long, villous at throat. Nutlets pale brown c. 1.8 x 1.8 mm, globose, with raised markings, not mucilaginous on wetting.
Characteristic features are the sturdy habit, the usually secund flowers, the much expanded fruiting calyces and the raised reticulum on the nutlets."
Sapindus saponaria,"

Trees, deciduous, to 20 m tall. Bark grayish brown or blackish brown; young branches green, glabrous. Leaves with petiole 25-45 cm or longer, axis slightly flat, grooved adaxially, glabrous or pilosulose; leaflets 5-8 pairs, usually subopposite; petiolule ca. 5 mm; blades adaxially shiny, narrowly elliptic-lanceolate or slightly falcate, 7-15 × 2-5 cm, thinly papery, abaxially glabrous or pilosulose, lateral veins 15-17 pairs, nearly parallel, dense, slender, base cuneate, slightly asymmetrical, apex acute or shortly acuminate. Inflorescences terminal, conical. Flowers actinomorphic, small. Pedicels very short. Sepals ovate or oblong-ovate, larger ones ca. 2 mm, abaxially pilose at base. Petals 5, lanceolate, ca. 2.5 mm, abaxially villous at base or subglabrous, long clawed; scales 2, earlike, at base adaxially. Disk acetabuliform, glabrous. Stamens 8, exserted; filaments ca. 3.5 mm, densely villous below middle. Ovary glabrous. Fertile schizocarps orange, black when dry, subglobose, 2-2.5 cm in diam. Fl. spring, fr. summer-autumn."
Ipomoea alba,"

Herbs annual or perennial, twining, usually glabrous, rarely puberulent. Stems to 10 m, terete, smooth or with soft prickles, sap milky. Petiole 5-20 cm; leaf blade ovate to ± circular in outline, 10-20 X 5-16 cm, base cordate, margin entire, angular to 3-lobed, apex acuminate, mucronulate. Inflorescences helicoid cymes, rarely dichasial, 1- to several flowered; peduncle stout, terete, 1-24 cm; bracts early deciduous, small. Pedicel 7-15 cm, clavate distally, enlarged in fruit. Flowers nocturnal, fragrant. Sepals elliptic to ovate, ± leathery, glabrous; outer 3 sepals 5-12 mm, apex with a stout spreading awn 4-9 mm; inner 2 sepals 7-15 mm, mucronate. Corolla white, with greenish bands, salverform; tube 7-12 cm, ca. 5 mm in diam.; limb 7-12 cm in diam., shallowly 5-undulate. Stamens exserted; filaments inserted in apical 1/2 of corolla tube, glabrous; anthers sagittate basally. Pistil exserted; ovary narrowly conical, glabrous. Stigma 2-lobed. Capsule ovoid, 2.5-3 cm, apiculate. Seeds white, brown, or black, ca. 10 7-8 mm, glabrous. 2n = 28*, 30*, 38*."
Ipomoea alba,"

Climbers, the stem woody at the base, perennial, smooth or with short fleshy prickles, glabrous. Leaves rounded, ovate, entire or 3-5-lobed, 5-15cm long, basally cordate, apically acuminate, glabrous. Flowers in 1 to several flowered cymes. Sepals fleshy, ovate to elliptic, 10-20 mm long, apically caudate, at least on the outer sepals. Corolla white, salverform, the tube 9-15 cm long, the limb 8-10 cm broad. Fruit capsular, ovoid to subglobose, 2-3 cm long, dark brown, glabrous. Seeds dark brown to black, glabrous.


This vine is cultivated in Pakistan for its fragrant, nocturnal flowers which are adapted for moth pollination."
Senna occidentalis,"

Subshrubs or shrubs, erect, 0.8-1.5 m tall, glabrous, few branched. Branches herbaceous, ribbed; roots blackish. Leaves ca. 20 cm; stipules caducous, triangular to lanceolate, 1-2 cm, membranous; petiole 3-4 cm, with a large, brown, ovoid gland near base; petiolule 1-2 mm, with a rotten smell when kneaded; leaflets 3-5(or 6) pairs, ovate to ovate-oblong, 4-10 × 2-3.5 cm, membranous, base rounded, apex acuminate. Corymbose racemes few flowered, axillary or terminal, ca. 5 cm; bracts caducous, linear-lanceolate. Flowers ca. 2 cm. Sepals unequal, outer ones suborbicular, ca. 6 mm in diam., inner ones ovate, 8-9 mm. Petals yellow, purplish veined, 2 outer slightly larger, shortly clawed. Fertile stamens 7, anthers opening by apical pores, reduced stamens 3, without anthers or with tiny anthers. Ovary tomentose; style glabrous. Legume brown, with pale thick margins, strap-shaped, falcate, flattened, 10-13 × ca. 1 cm, with septa between seeds. Seeds 30-40, flat, orbicular, 3-4 mm in diam. 2n = 24, 26*, 28*, 56*."
Colubrina asiatica,"

Shrubs scandent, evergreen. Young branchlets glabrous. Leaves alternate; petiole 1-1.6 cm, pilose; leaf blade ovate, broadly ovate, or cordate, 4-8 × 2-5 cm, submembranous or thinly papery, both surfaces glabrous or subglabrous, venation pinnate, secondary veins 2 or 3 pairs, prominent on both surfaces, base rounded or subcordate, margin coarsely crenate, apex acuminate, emarginate. Flowers yellow, 5-merous, few in axillary thyrses. Pedicel 2-3 mm. Calyx tube hemispherical; sepals 5, triangular, adaxially distinctly keeled. Petals 5, obovate, cucullate, ca. as long as stamens, clawed. Stamens 5. Disk fleshy. Ovary immersed in stout disk, 2- or 3-loculed; style ± deeply 2- or 3-fid. Capsule globose, 7-9 mm in diam., basally surrounded by remains of calyx tube, loculicidally dehiscent at maturity; locules 1-seeded; fruiting pedicel 4-6 mm. Seeds grayish brown. Fl. Jun-Sep, fr. Sep-Dec."
Elaeagnus umbellata,"

Shrubs or trees, to 5 m, clonal. Stems armed when young, unarmed when older, silvery-green becoming densely brown-scaly in age. Leaves deciduous; blade elliptic or ovate, (2–)3–8(–10) × 1–2.5 cm, margins entire or ± wavy, surfaces silvery-scaly abaxially, sparsely pubescent, dark green, glossy adaxially. Flowers densely clustered, 3+, appearing to encircle stems; hypanthium narrowly funnelform, 7–8 mm distal to constriction; calyx yellow to cream-white, 3.5–4 mm, calyx lobes with silver scales outside, glabrous inside; nectary disc conspicuous. Fruits bright red or pink, ovoid, 6–8 mm, fleshy, lepidote."
Elaeagnus umbellata,"

Shrubs, deciduous, erect with branchlets spreading. New branches and buds silvery scaly. Petiole 3-5(-10) mm; leaf blade obovate, 2.2-5.5(-8) × 1-1.6(-2.5) cm, papery, abaxially densely white scaly, adaxially sparsely scaly when young, lateral veins 5-8 per side of midrib, base cuneate, apex acute to obtuse. Flowers 1-3(-7)-fasciculate in axils of both long and short shoots; pedicel 3-6(-8) mm, to 1.2 cm in fruit. Flowers silvery white. Calyx tube funnel-shaped, 5-7 mm, slender; lobes triangular-ovate, 2.8-3 mm. Filaments ca. 0.7 mm; anthers elliptic, 1.8-2 mm. Style 6-7 mm, with stellate hairs; stigma ca. 2.2 mm. Drupe red, nearly globose, (6-)8-9 mm. Seed ca. 7 mm. Fl. Apr-May, fr. Jul-Aug. 2n = 28*."
Elaeagnus umbellata,"

A small tree or shrub, often spiny. Shoots covered with peltate scales. Leaves 2-9 cm long, 0.8-3 cm broad, elliptic-oblong to oblong-lanceolate, obtuse or acute, dull green above, with peltate and stellate hairs, lower surface sometimes with ferruginous scales. Petiole 2-6 mm long. Flowers in axillary clusters of 2-4. Pedicel 3.5-6.5 mm long. Perianth tube 0.8-1 cm long, tubular; tepals 4, ovate, 2.5 mm long, yellow inside; anthers subsessile, c. 2 mm long; style 7-10 mm long, stellately hairy. Fruit 8-9 mm long, elliptic-ovoid, succulent, covered with scales when young; endocarp not hard, 8-ribbed, woolly within.


A deciduous tree or shrub with fragrant yellow flowers. Common in the Himalayas in dry exposed places from 1000-3300 m. It is also cultivated. The fruit is edible. The following specimens, without flowers and fruit and with the habit of Elaeagnus umbellatus Thunb., but leaves with dense soft pubescence on the under surfaces, may with further material represent a different taxon. They have been provisionally placed here."
Acer pinnatinervium,"

Trees, to 10 m tall, androdioecious. Bark gray-brown or dark brown, rough; branchlets slender, glabrous, those of present year purple-green or green, older ones gray-green or yellow-green. Winter buds purplish green, ovoid. Leaves persistent; petiole purple-green, 2-3.5 cm, glabrous; leaf blade abaxially gray-white, adaxially dark green and lucid, oblong-elliptic or elliptic, 10-14 × 3-6 cm, papery or subleathery, glabrous, pinnatinerved, lateral veins 8-12 pairs, base obtuse, apex caudate-acuminate, acumen 2-2.4 cm. Inflorescences cymose-paniculate, ca. 1.5 cm, pubescent. Sepals 5, yellowish green, ca. 2 × 7 mm. Petals 5, light yellow, ca. 1.8 × 0.4 mm. Stamens 8. Disk extrastaminal. Ovary purplish, villous. Fruit yellowish brown; nutlets flat, 1-2 cm × 6-7 mm; wing falcate, including nutlet 2-4 cm, wings spreading acutely. Fruit peduncle 1-2 cm, very slender. Fl. Aug-Oct, fr. Dec-Feb."
Haematoxylum campechianum,"

Trees, small, to 8 m tall, sometimes with spreading branches and shrubby. Trunk deeply sulcate. Bark light gray. Branchlets slender. Leaves 5-10 cm, shortly petiolate; leaflets 2-4 pairs, abaxially pale green, adaxially shiny, obovate to obcordate, 1-3 cm, papery, with fine veins, base cuneate, apex rounded or deeply emarginate. Racemes 2-5 cm, with several to numerous flowers; peduncles short. Pedicels 4-6 mm, slender. Calyx 3-4 mm; lobes oblong-lanceolate, apex acute. Petals yellow, narrowly obovate, 5-6 mm, apex obtuse. Stamens ca. as long as petals. Legume lanceolate-oblong, 2-5 × 0.8-1.2 cm; valves thin, with fine veins."
Haematoxylum campechianum,"

A large shrub or medium sized tree. Leaves abruptly unipinnate, 2.5-7.5 cm long, leaflets about 4 pairs, 1.2-2.5 cm long, broadly obovate, apex obtuse, emargi¬nate. Inflorescence a raceme, c. 5-10 cm long. Flowers c. 1.2 cm across, yellow. Petals 5, oblong. Stamens free, filaments hairy at the base. Ovary short stiped. Pod c. 3.8 cm long, 7.5-10 mm broad, membranous, narrowed at both the ends. Seeds 2-3."
Tamarix ramosissima,"

Shrubs or trees, to 8 m. Leaves: blade lanceolate, 1.5–3.5 mm. Inflorescences 1.5–7 cm × 3–4 mm; bract exceeding pedicel, not reaching calyx tip. Flowers 5-merous; sepals 0.5–1.5 mm, margins denticulate; petals obovate to elliptic, 1.5–2 mm; antisepalous stamens 5, filaments alternate with nectar disc lobes, all originating from edge of disc. 2n = 24."
Tamarix ramosissima,"

Shrubs or small trees, 1-3(-6) m tall. Old branches dark gray; growing branches of current year ascending, reddish or orange-yellow, long. Leaves of growing branches lanceolate, semiamplexicaul, slightly decurrent; those of vegetative branches broadly ovate-orbicular or triangular-cordate, 2-5 mm, base decurrent, nearly amplexicaul, apex acute. Racemes terminal on branches of current year, clustered into terminal panicles, (0.5-)3-5(-8) cm × 3-5 mm; peduncles 2-10 mm; bracts lanceolate, ovate-lanceolate, linear-subulate, or ovate-oblong, 1.5-2(-2.8) mm, equaling or exceeding calyx, apex acuminate. Pedicels 0.5-0.7 mm, shorter than or ca. as long as calyx. Flowers 5-merous. Calyx 0.5-1 mm; sepals broadly elliptic-ovate or ovate, apex acuminate or obtuse; inner 3 wider than outer 2, 0.5-0.7 × 0.3-0.5 mm, margin narrowly membranous, irregularly dentate, not carinate. Petals pink or purple, obovate to broadly elliptic-obovate, 1-1.7 × 0.7-1 mm, ca. 1/3 longer than calyx, apex emarginate, ascending, contacting each other and forming a cup-shaped corolla, persistent in fruit. Disk 5-lobed; lobes emarginate at apex. Stamens 5, equaling or ca. 1.5 × exceeding corolla; filaments not dilated at base, inserted between disk lobes; anthers obtuse or with obtuse protrusions at apex. Ovary conic, triqueter; styles 3, clavate, 1/4-1/3 as long as ovary. Capsule triqueter, conic, 3-5 mm, 3-4 × as long as calyx. Fl. May-Sep. 2n = 24*."
